model,benchmark,amb_bias,disamb_bias,gap
Llama-3.2-1B,BBQ,0.01702796963687342,0.017479231665601613,0.0004512620287281943
Llama-3.2-1B,EsBBQ,0.010280657437358658,0.03308985622998402,0.02280919879262536
Salamandra-2B,BBQ,0.020686589619093153,0.027715355805243425,0.007028766186150271
Salamandra-2B,EsBBQ,0.016918964870875908,0.01756034932255811,0.0006413844516822038
Llama-3.2-3B,BBQ,0.04120221568761533,0.022387784457640336,-0.018814431229974997
Llama-3.2-3B,EsBBQ,0.03962308175374414,0.007562679301112396,-0.032060402452631746
